"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"adr";"go_adr";"plc";"go_plc";"var";"decription";"pin";"ch";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"78";"O_S1";"variant_0";"approved";"192.76";"99.98";"1192.0";"871.0";"A3.6";"/17a.3";"PLC-I";"-EG1.2/2 PLC";"Spare";"spare";"40";"CCHH 3300";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"2";"78";"O_S1";"variant_0";"approved";"56.69";"99.98";"1192.0";"871.0";"A3.5";"/17a.3";"PLC-I";"-EG1.2/2 PLC";"Spare";"spare";"39";"CCHH 2299";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"3";"78";"O_S1";"variant_0";"approved";"328.82";"99.98";"1192.0";"871.0";"A3.7";"/17a.3";"PLC-I";"-EG1.2/2 PLC";"Spare";"spare";"41";"CCHH 3311";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"4";"78";"O_S1";"variant_0";"approved";"464.88";"99.98";"1192.0";"871.0";"A23.6";"/17b.3";"PLC-I";"-EG1.2/6 PLC";"Spare";"spare";"40";"CCHH 3300";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"5";"78";"O_S1";"variant_0";"approved";"600.94";"99.98";"1192.0";"871.0";"A23.7";"/17b.3";"PLC-I";"-EG1.2/6 PLC";"Spare";"spare";"41";"CCHH 3311";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"6";"78";"O_S1";"variant_0";"approved";"737.01";"99.98";"1192.0";"871.0";"A27.7";"/17b.5";"PLC-I";"-EG1.2/7 PLC";"Spare";"spare";"41";"CCHH 3311";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"7";"78";"O_S1";"variant_0";"approved";"873.07";"99.98";"1192.0";"871.0";"A31.6";"/17b.8";"PLC-I";"-EG1.2/8 PLC";"Spare";"spare";"40";"CCHH 3300";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"8";"78";"O_S1";"variant_0";"approved";"1009.13";"99.98";"1192.0";"871.0";"A31.7";"/17b.8";"PLC-I";"-EG1.2/8";"Spare";"spare";"41";"CCHH 3311";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"9";"78";"O_S1";"variant_0";"approved";"192.76";"281.39";"1192.0";"871.0";"A34.3";"/17c.0";"PLC-I";"-EG1.2/9 PLC";"Spare";"spare";"28";"CCHH 1199";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"10";"78";"O_S1";"variant_0";"approved";"56.69";"281.39";"1192.0";"871.0";"A34.2";"/17c.0";"PLC-I";"-EG1.2/9 PLC";"Spare";"spare";"27";"CCHH 1188";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"11";"78";"O_S1";"variant_0";"approved";"328.82";"281.39";"1192.0";"871.0";"A34.4";"/17c.0";"PLC-I";"-EG1.2/9 PLC";"Spare";"spare";"29";"CCHH 2200";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"12";"78";"O_S1";"variant_0";"approved";"464.88";"281.39";"1192.0";"871.0";"A34.5";"/17c.0";"PLC-I";"-EG1.2/9 PLC";"Spare";"spare";"30";"CCHH 2211";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"13";"78";"O_S1";"variant_0";"approved";"600.94";"281.39";"1192.0";"871.0";"A34.6";"/17c.0";"PLC-I";"-EG1.2/9 PLC";"Spare";"spare";"31";"CCHH 2222";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"14";"78";"O_S1";"variant_0";"approved";"737.01";"281.39";"1192.0";"871.0";"A34.7";"/17c.0";"PLC-I";"-EG1.2/9 PLC";"Spare";"spare";"32";"CCHH 2233";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"15";"78";"O_S1";"variant_0";"approved";"873.07";"281.39";"1192.0";"871.0";"A50.7";"/17c.3";"PLC-I";"-EG1.2/10 PLC";"Spare";"spare";"32";"CCHH 2233";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"16";"78";"O_S1";"variant_0";"approved";"1009.13";"281.39";"1192.0";"871.0";"A53.7";"/17c.5";"PLC-I";"-EG1.2/11";"Spare";"spare";"20";"CCHH 1155";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"17";"78";"O_S1";"variant_0";"approved";"192.76";"462.81";"1192.0";"871.0";"A55.7";"/17c.5";"PLC-I";"-EG1.2/11 PLC";"Spare";"spare";"41";"CCHH 3311";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"18";"78";"O_S1";"variant_0";"approved";"56.69";"462.81";"1192.0";"871.0";"A55.6";"/17c.5";"PLC-I";"-EG1.2/11 PLC";"Spare";"spare";"40";"CCHH 3300";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"19";"78";"O_S1";"variant_0";"approved";"328.82";"462.81";"1192.0";"871.0";"A59.2";"/17c.8";"PLC-I";"-EG1.2/12 PLC";"Spare";"spare";"36";"CCHH 2266";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"20";"78";"O_S1";"variant_0";"approved";"464.88";"462.81";"1192.0";"871.0";"A59.3";"/17c.8";"PLC-I";"-EG1.2/12 PLC";"Spare";"spare";"37";"CCHH 2277";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"21";"78";"O_S1";"variant_0";"approved";"600.94";"462.81";"1192.0";"871.0";"A59.4";"/17c.8";"PLC-I";"-EG1.2/12 PLC";"Spare";"spare";"38";"CCHH 2288";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"22";"78";"O_S1";"variant_0";"approved";"737.01";"462.81";"1192.0";"871.0";"A59.5";"/17c.8";"PLC-I";"-EG1.2/12 PLC";"Spare";"spare";"39";"CCHH 2299";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"23";"78";"O_S1";"variant_0";"approved";"873.07";"462.81";"1192.0";"871.0";"A59.6";"/17c.8";"PLC-I";"-EG1.2/12 PLC";"Spare";"spare";"40";"CCHH 3300";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"24";"78";"O_S1";"variant_0";"approved";"1009.13";"462.81";"1192.0";"871.0";"A59.7";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"41";"CCHH 3311";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"25";"78";"O_S1";"variant_0";"approved";"192.76";"644.23";"1192.0";"871.0";"A71.5";"/17d.5";"PLC-I";"-EG1.2/15 PLC";"Spare";"spare";"39";"CCHH 2299";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"26";"78";"O_S1";"variant_0";"approved";"56.69";"644.23";"1192.0";"871.0";"A68.7";"/17d.5";"PLC-I";"-EG1.2/15 PLC";"Spare";"spare";"11";"CCHH 77";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"27";"78";"O_S1";"variant_0";"approved";"328.82";"644.23";"1192.0";"871.0";"A71.6";"/17d.5";"PLC-I";"-EG1.2/15 PLC";"Spare";"spare";"40";"CCHH 3300";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"28";"78";"O_S1";"variant_0";"approved";"464.88";"644.23";"1192.0";"871.0";"A71.7";"/17d.5";"PLC-I";"-EG1.2/15 PLC";"Spare";"spare";"41";"CCHH 3311";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"29";"78";"O_S1";"variant_0";"approved";"600.94";"644.23";"1192.0";"871.0";"A75.3";"/17d.8";"PLC-I";"-EG1.2/16 PLC";"Spare";"spare";"37";"CCHH 2277";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"30";"78";"O_S1";"variant_0";"approved";"737.01";"644.23";"1192.0";"871.0";"A75.4";"/17d.8";"PLC-I";"-EG1.2/16 PLC";"Spare";"spare";"38";"CCHH 2288";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"31";"78";"O_S1";"variant_0";"approved";"873.07";"644.23";"1192.0";"871.0";"A75.5";"/17d.8";"PLC-I";"-EG1.2/16 PLC";"Spare";"spare";"39";"CCHH 2299";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"32";"78";"O_S1";"variant_0";"approved";"1009.13";"644.23";"1192.0";"871.0";"A75.6";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"40";"CCHH 3300";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"33";"79";"O_S1";"variant_0";"approved";"56.69";"99.98";"1192.0";"871.0";"A75.7";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"41";"CCHH 3311";"17h";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"34";"93";"O_S1";"variant_0";"approved";"192.76";"99.98";"1192.0";"871.0";"A31.5";"/20b.7";"PLC-II";"-EG2.2/8 PLC";"Spare";"spare";"39";"CCHH 2299";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"35";"93";"O_S1";"variant_0";"approved";"56.69";"99.98";"1192.0";"871.0";"A31.4";"/20b.7";"PLC-II";"-EG2.2/8 PLC";"Spare";"spare";"38";"CCHH 2288";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"36";"93";"O_S1";"variant_0";"approved";"328.82";"99.98";"1192.0";"871.0";"A45.7";"/20c.7";"PLC-II";"-EG2.2/12 PLC";"Spare";"spare";"20";"CCHH 1155";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"37";"93";"O_S1";"variant_0";"approved";"464.88";"99.98";"1192.0";"871.0";"A47.7";"/20c.7";"PLC-II";"-EG2.2/12 PLC";"Spare";"spare";"41";"CCHH 3311";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"38";"93";"O_S1";"variant_0";"approved";"600.94";"99.98";"1192.0";"871.0";"A49.7";"/20d.0";"PLC-II";"-EG2.2/13 PLC";"Spare";"spare";"20";"CCHH 1155";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"39";"93";"O_S1";"variant_0";"approved";"737.01";"99.98";"1192.0";"871.0";"A50.0";"/20d.0";"PLC-II";"-EG2.2/13 PLC";"Spare";"spare";"25";"CCHH 1166";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"40";"93";"O_S1";"variant_0";"approved";"873.07";"99.98";"1192.0";"871.0";"A50.2";"/20d.0";"PLC-II";"-EG2.2/13 PLC";"Spare";"spare";"27";"CCHH 1188";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"41";"93";"O_S1";"variant_0";"approved";"1009.13";"99.98";"1192.0";"871.0";"A50.3";"/20d.0";"PLC-II";"-EG2.2/13";"Spare";"spare";"28";"CCHH 1199";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"42";"93";"O_S1";"variant_0";"approved";"192.76";"281.39";"1192.0";"871.0";"A68.1";"/20d.8";"PLC-II";"-EG2.2/15 PLC";"Spare";"spare";"6";"CCHH 11";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"43";"93";"O_S1";"variant_0";"approved";"56.69";"281.39";"1192.0";"871.0";"A68.0";"/20d.8";"PLC-II";"-EG2.2/15 PLC";"Spare";"spare";"4";"CCHH 00";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"44";"93";"O_S1";"variant_0";"approved";"328.82";"281.39";"1192.0";"871.0";"A68.2";"/20d.8";"PLC-II";"-EG2.2/15 PLC";"Spare";"spare";"8";"CCHH 22";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"45";"93";"O_S1";"variant_0";"approved";"464.88";"281.39";"1192.0";"871.0";"A68.3";"/20d.8";"PLC-II";"-EG2.2/15 PLC";"Spare";"spare";"10";"CCHH 33";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"46";"93";"O_S1";"variant_0";"approved";"600.94";"281.39";"1192.0";"871.0";"A68.4";"/20d.8";"PLC-II";"-EG2.2/15 PLC";"Spare";"spare";"15";"CCHH 44";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"47";"93";"O_S1";"variant_0";"approved";"737.01";"281.39";"1192.0";"871.0";"A68.5";"/20d.8";"PLC-II";"-EG2.2/15 PLC";"Spare";"spare";"17";"CCHH 55";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"48";"93";"O_S1";"variant_0";"approved";"873.07";"281.39";"1192.0";"871.0";"A68.6";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"19";"CCHH 66";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"49";"93";"O_S1";"variant_0";"approved";"328.82";"462.81";"1192.0";"871.0";"A69.3";"/20d.8";"PLC-II";"-EG2.2/15 PLC";"Spare";"spare";"33";"CCHH 1111";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"50";"93";"O_S1";"variant_0";"approved";"192.76";"462.81";"1192.0";"871.0";"A69.2";"/20d.8";"PLC-II";"-EG2.2/15 PLC";"Spare";"spare";"31";"CCHH 1100";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"51";"93";"O_S1";"variant_0";"approved";"464.88";"462.81";"1192.0";"871.0";"A69.6";"/20d.8";"PLC-II";"-EG2.2/15 PLC";"Spare";"spare";"43";"CCHH 1144";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"52";"93";"O_S1";"variant_0";"approved";"600.94";"462.81";"1192.0";"871.0";"A69.7";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"45";"CCHH 1155";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
