"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"adr";"link";"plc";"Name";"var";"decription";"pin";"ch";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"70";"O_SPS";"variant_0";"approved";"192.76";"621.55";"1192.0";"871.0";"A85.3";"/16e.0";"PLC-I";"-EG1.1/16";"Spare";"spare";"33";"CCHH 1111";"";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"2";"70";"O_SPS";"variant_0";"approved";"56.69";"621.55";"1192.0";"871.0";"A85.1";"/16e.0";"PLC-I";"-EG1.1/16";"Spare";"spare";"29";"CCHH 99";"";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"3";"70";"O_SPS";"variant_0";"approved";"328.82";"621.55";"1192.0";"871.0";"A85.4";"/16e.0";"PLC-I";"-EG1.1/16";"Spare";"spare";"39";"CCHH 1122";"";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"4";"70";"O_SPS";"variant_0";"approved";"464.88";"621.55";"1192.0";"871.0";"A85.5";"/16e.0";"PLC-I";"-EG1.1/16";"Spare";"spare";"41";"CCHH 1133";"";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"5";"77";"O_SPS";"variant_0";"approved";"192.76";"440.13";"1192.0";"871.0";"A1.0";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"13";"CCHH 88";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"6";"77";"O_SPS";"variant_0";"approved";"56.69";"440.13";"1192.0";"871.0";"A0.7";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"11";"CCHH 77";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"7";"77";"O_SPS";"variant_0";"approved";"328.82";"440.13";"1192.0";"871.0";"A1.1";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"14";"CCHH 99";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"8";"77";"O_SPS";"variant_0";"approved";"464.88";"440.13";"1192.0";"871.0";"A1.2";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"15";"CCHH 1100";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"9";"77";"O_SPS";"variant_0";"approved";"600.94";"440.13";"1192.0";"871.0";"A1.3";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"16";"CCHH 1111";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"10";"77";"O_SPS";"variant_0";"approved";"737.01";"440.13";"1192.0";"871.0";"A1.4";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"17";"CCHH 1122";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"11";"77";"O_SPS";"variant_0";"approved";"873.07";"440.13";"1192.0";"871.0";"A1.5";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"18";"CCHH 1133";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"12";"77";"O_SPS";"variant_0";"approved";"1009.13";"440.13";"1192.0";"871.0";"A1.6";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"19";"CCHH 1144";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"13";"77";"O_SPS";"variant_0";"approved";"192.76";"621.55";"1192.0";"871.0";"A2.6";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"31";"CCHH 2222";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"14";"77";"O_SPS";"variant_0";"approved";"56.69";"621.55";"1192.0";"871.0";"A1.7";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"20";"CCHH 1155";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"15";"77";"O_SPS";"variant_0";"approved";"328.82";"621.55";"1192.0";"871.0";"A2.7";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"32";"CCHH 2233";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"16";"77";"O_SPS";"variant_0";"approved";"464.88";"621.55";"1192.0";"871.0";"A3.0";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"34";"CCHH 2244";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"17";"77";"O_SPS";"variant_0";"approved";"600.94";"621.55";"1192.0";"871.0";"A3.1";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"35";"CCHH 2255";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"18";"77";"O_SPS";"variant_0";"approved";"737.01";"621.55";"1192.0";"871.0";"A3.2";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"36";"CCHH 2266";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"19";"77";"O_SPS";"variant_0";"approved";"873.07";"621.55";"1192.0";"871.0";"A3.3";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"37";"CCHH 2277";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"20";"77";"O_SPS";"variant_0";"approved";"1009.13";"621.55";"1192.0";"871.0";"A3.4";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"38";"CCHH 2288";"";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"21";"78";"O_SPS";"variant_0";"approved";"192.76";"99.98";"1192.0";"871.0";"A3.6";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"40";"CCHH 3300";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"22";"78";"O_SPS";"variant_0";"approved";"56.69";"99.98";"1192.0";"871.0";"A3.5";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"39";"CCHH 2299";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"23";"78";"O_SPS";"variant_0";"approved";"328.82";"99.98";"1192.0";"871.0";"A3.7";"/17a.3";"PLC-I";"-EG1.2/2";"Spare";"spare";"41";"CCHH 3311";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"24";"78";"O_SPS";"variant_0";"approved";"464.88";"99.98";"1192.0";"871.0";"A23.6";"/17b.3";"PLC-I";"-EG1.2/6";"Spare";"spare";"40";"CCHH 3300";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"25";"78";"O_SPS";"variant_0";"approved";"600.94";"99.98";"1192.0";"871.0";"A23.7";"/17b.3";"PLC-I";"-EG1.2/6";"Spare";"spare";"41";"CCHH 3311";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"26";"78";"O_SPS";"variant_0";"approved";"737.01";"99.98";"1192.0";"871.0";"A27.7";"/17b.5";"PLC-I";"-EG1.2/7";"Spare";"spare";"41";"CCHH 3311";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"27";"78";"O_SPS";"variant_0";"approved";"873.07";"99.98";"1192.0";"871.0";"A31.6";"/17b.8";"PLC-I";"-EG1.2/8";"Spare";"spare";"40";"CCHH 3300";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"28";"78";"O_SPS";"variant_0";"approved";"1009.13";"99.98";"1192.0";"871.0";"A31.7";"/17b.8";"PLC-I";"-EG1.2/8";"Spare";"spare";"41";"CCHH 3311";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"29";"78";"O_SPS";"variant_0";"approved";"192.76";"281.39";"1192.0";"871.0";"A34.3";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"28";"CCHH 1199";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"30";"78";"O_SPS";"variant_0";"approved";"56.69";"281.39";"1192.0";"871.0";"A34.2";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"27";"CCHH 1188";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"31";"78";"O_SPS";"variant_0";"approved";"328.82";"281.39";"1192.0";"871.0";"A34.4";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"29";"CCHH 2200";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"32";"78";"O_SPS";"variant_0";"approved";"464.88";"281.39";"1192.0";"871.0";"A34.5";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"30";"CCHH 2211";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"33";"78";"O_SPS";"variant_0";"approved";"600.94";"281.39";"1192.0";"871.0";"A34.6";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"31";"CCHH 2222";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"34";"78";"O_SPS";"variant_0";"approved";"737.01";"281.39";"1192.0";"871.0";"A34.7";"/17c.0";"PLC-I";"-EG1.2/9";"Spare";"spare";"32";"CCHH 2233";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"35";"78";"O_SPS";"variant_0";"approved";"873.07";"281.39";"1192.0";"871.0";"A50.7";"/17c.3";"PLC-I";"-EG1.2/10";"Spare";"spare";"32";"CCHH 2233";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"36";"78";"O_SPS";"variant_0";"approved";"1009.13";"281.39";"1192.0";"871.0";"A53.7";"/17c.5";"PLC-I";"-EG1.2/11";"Spare";"spare";"20";"CCHH 1155";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"37";"78";"O_SPS";"variant_0";"approved";"192.76";"462.81";"1192.0";"871.0";"A55.7";"/17c.5";"PLC-I";"-EG1.2/11";"Spare";"spare";"41";"CCHH 3311";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"38";"78";"O_SPS";"variant_0";"approved";"56.69";"462.81";"1192.0";"871.0";"A55.6";"/17c.5";"PLC-I";"-EG1.2/11";"Spare";"spare";"40";"CCHH 3300";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"39";"78";"O_SPS";"variant_0";"approved";"328.82";"462.81";"1192.0";"871.0";"A59.2";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"36";"CCHH 2266";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"40";"78";"O_SPS";"variant_0";"approved";"464.88";"462.81";"1192.0";"871.0";"A59.3";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"37";"CCHH 2277";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"41";"78";"O_SPS";"variant_0";"approved";"600.94";"462.81";"1192.0";"871.0";"A59.4";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"38";"CCHH 2288";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"42";"78";"O_SPS";"variant_0";"approved";"737.01";"462.81";"1192.0";"871.0";"A59.5";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"39";"CCHH 2299";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"43";"78";"O_SPS";"variant_0";"approved";"873.07";"462.81";"1192.0";"871.0";"A59.6";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"40";"CCHH 3300";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"44";"78";"O_SPS";"variant_0";"approved";"1009.13";"462.81";"1192.0";"871.0";"A59.7";"/17c.8";"PLC-I";"-EG1.2/12";"Spare";"spare";"41";"CCHH 3311";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"45";"78";"O_SPS";"variant_0";"approved";"192.76";"644.23";"1192.0";"871.0";"A71.5";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"39";"CCHH 2299";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"46";"78";"O_SPS";"variant_0";"approved";"56.69";"644.23";"1192.0";"871.0";"A68.7";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"11";"CCHH 77";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"47";"78";"O_SPS";"variant_0";"approved";"328.82";"644.23";"1192.0";"871.0";"A71.6";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"40";"CCHH 3300";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"48";"78";"O_SPS";"variant_0";"approved";"464.88";"644.23";"1192.0";"871.0";"A71.7";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"41";"CCHH 3311";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"49";"78";"O_SPS";"variant_0";"approved";"600.94";"644.23";"1192.0";"871.0";"A75.3";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"37";"CCHH 2277";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"50";"78";"O_SPS";"variant_0";"approved";"737.01";"644.23";"1192.0";"871.0";"A75.4";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"38";"CCHH 2288";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"51";"78";"O_SPS";"variant_0";"approved";"873.07";"644.23";"1192.0";"871.0";"A75.5";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"39";"CCHH 2299";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"52";"78";"O_SPS";"variant_0";"approved";"1009.13";"644.23";"1192.0";"871.0";"A75.6";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"40";"CCHH 3300";"";"17g";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"53";"79";"O_SPS";"variant_0";"approved";"56.69";"99.98";"1192.0";"871.0";"A75.7";"/17d.8";"PLC-I";"-EG1.2/16";"Spare";"spare";"41";"CCHH 3311";"";"17h";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"54";"93";"O_SPS";"variant_0";"approved";"192.76";"99.98";"1192.0";"871.0";"A31.5";"/20b.7";"PLC-II";"-EG2.2/8";"Spare";"spare";"39";"CCHH 2299";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"55";"93";"O_SPS";"variant_0";"approved";"56.69";"99.98";"1192.0";"871.0";"A31.4";"/20b.7";"PLC-II";"-EG2.2/8";"Spare";"spare";"38";"CCHH 2288";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"56";"93";"O_SPS";"variant_0";"approved";"328.82";"99.98";"1192.0";"871.0";"A45.7";"/20c.7";"PLC-II";"-EG2.2/12";"Spare";"spare";"20";"CCHH 1155";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"57";"93";"O_SPS";"variant_0";"approved";"464.88";"99.98";"1192.0";"871.0";"A47.7";"/20c.7";"PLC-II";"-EG2.2/12";"Spare";"spare";"41";"CCHH 3311";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"58";"93";"O_SPS";"variant_0";"approved";"600.94";"99.98";"1192.0";"871.0";"A49.7";"/20d.0";"PLC-II";"-EG2.2/13";"Spare";"spare";"20";"CCHH 1155";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"59";"93";"O_SPS";"variant_0";"approved";"737.01";"99.98";"1192.0";"871.0";"A50.0";"/20d.0";"PLC-II";"-EG2.2/13";"Spare";"spare";"25";"CCHH 1166";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"60";"93";"O_SPS";"variant_0";"approved";"873.07";"99.98";"1192.0";"871.0";"A50.2";"/20d.0";"PLC-II";"-EG2.2/13";"Spare";"spare";"27";"CCHH 1188";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"61";"93";"O_SPS";"variant_0";"approved";"1009.13";"99.98";"1192.0";"871.0";"A50.3";"/20d.0";"PLC-II";"-EG2.2/13";"Spare";"spare";"28";"CCHH 1199";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"62";"93";"O_SPS";"variant_0";"approved";"192.76";"281.39";"1192.0";"871.0";"A68.1";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"6";"CCHH 11";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"63";"93";"O_SPS";"variant_0";"approved";"56.69";"281.39";"1192.0";"871.0";"A68.0";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"4";"CCHH 00";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"64";"93";"O_SPS";"variant_0";"approved";"328.82";"281.39";"1192.0";"871.0";"A68.2";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"8";"CCHH 22";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"65";"93";"O_SPS";"variant_0";"approved";"464.88";"281.39";"1192.0";"871.0";"A68.3";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"10";"CCHH 33";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"66";"93";"O_SPS";"variant_0";"approved";"600.94";"281.39";"1192.0";"871.0";"A68.4";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"15";"CCHH 44";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"67";"93";"O_SPS";"variant_0";"approved";"737.01";"281.39";"1192.0";"871.0";"A68.5";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"17";"CCHH 55";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"68";"93";"O_SPS";"variant_0";"approved";"873.07";"281.39";"1192.0";"871.0";"A68.6";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"19";"CCHH 66";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"69";"93";"O_SPS";"variant_0";"approved";"328.82";"462.81";"1192.0";"871.0";"A69.3";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"33";"CCHH 1111";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"70";"93";"O_SPS";"variant_0";"approved";"192.76";"462.81";"1192.0";"871.0";"A69.2";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"31";"CCHH 1100";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"71";"93";"O_SPS";"variant_0";"approved";"464.88";"462.81";"1192.0";"871.0";"A69.6";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"43";"CCHH 1144";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"72";"93";"O_SPS";"variant_0";"approved";"600.94";"462.81";"1192.0";"871.0";"A69.7";"/20d.8";"PLC-II";"-EG2.2/15";"Spare";"spare";"45";"CCHH 1155";"";"20e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"73";"96";"O_SPS";"variant_0";"approved";"90.71";"451.47";"1192.0";"871.0";"A68.0";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"4";"CCHH 00";"";"22";"104";"= 400";"+ 400SPS";"general";"general signals";""
"74";"96";"O_SPS";"variant_0";"approved";"771.02";"451.47";"1192.0";"871.0";"A68.1";"/17d.5";"PLC-I";"-EG1.2/15";"Spare";"spare";"5";"CCHH 11";"";"22";"104";"= 400";"+ 400SPS";"general";"general signals";""
"75";"97";"O_SPS";"variant_0";"approved";"192.76";"451.47";"1192.0";"871.0";"A0.1";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K104";"ready for switiching on control
voltage";"5";"CCHH 11";"";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"76";"97";"O_SPS";"variant_0";"approved";"56.69";"451.47";"1192.0";"871.0";"A0.0";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K103";"400SPS control voltage on
after time";"4";"CCHH 00";"";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"77";"97";"O_SPS";"variant_0";"approved";"873.07";"451.47";"1192.0";"871.0";"A0.6";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K107.1";"horn 2a";"10";"CCHH 66";"";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"78";"97";"O_SPS";"variant_0";"approved";"328.82";"451.47";"1192.0";"871.0";"A0.2";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K105";"spare";"6";"CCHH 22";"";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"79";"97";"O_SPS";"variant_0";"approved";"464.88";"451.47";"1192.0";"871.0";"A0.3";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K106";"disturb reset";"7";"CCHH 33";"";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"80";"97";"O_SPS";"variant_0";"approved";"600.94";"451.47";"1192.0";"871.0";"A0.4";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K107";"horn";"8";"CCHH 44";"";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"81";"97";"O_SPS";"variant_0";"approved";"737.01";"451.47";"1192.0";"871.0";"A0.5";"/17a.3";"PLC-I";"-EG1.2/2";"=400-K108";"flashlamp";"9";"CCHH 55";"";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
