"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"adr";"link";"plc";"Name";"var";"description";"pin";"ch";"style";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"63";"I_SPS";"A";"pending";"668.98";"372.1";"1192.0";"871.0";"E3.3";"/15a.0";"PLC-I";"-ZG1/7";"Spare";"spare";"37";"CH 27";"plc_DI";"15d";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"2";"63";"I_SPS";"A";"pending";"532.91";"372.1";"1192.0";"871.0";"E3.2";"/15a.0";"PLC-I";"-ZG1/7";"Spare";"spare";"36";"CH 26";"plc_DI";"15d";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"3";"63";"I_SPS";"A";"pending";"805.04";"372.1";"1192.0";"871.0";"E3.4";"/15a.0";"PLC-I";"-ZG1/7";"Spare";"spare";"38";"CH 28";"plc_DI";"15d";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"4";"63";"I_SPS";"A";"pending";"941.1";"372.1";"1192.0";"871.0";"E8.4";"/15a.5";"PLC-I";"-ZG1/9";"Spare";"spare";"8";"CH 4";"plc_DI";"15d";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"5";"63";"I_SPS";"A";"pending";"1077.17";"372.1";"1192.0";"871.0";"E8.5";"/15a.5";"PLC-I";"-ZG1/9";"Spare";"spare";"9";"CH 5";"plc_DI";"15d";"104";"= 400";"+ 400SPS";"PLC-system";"PLC-central unit / PLC-I";""
"6";"70";"I_SPS";"A";"pending";"260.79";"496.83";"1192.0";"871.0";"E51.7";"/16a.5";"PLC-I";"-EG1.1/4";"Spare";"spare";"41";"CH 31";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"7";"70";"I_SPS";"A";"pending";"124.72";"496.83";"1192.0";"871.0";"E50.7";"/16a.5";"PLC-I";"-EG1.1/4";"Spare";"spare";"32";"CH 23";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"8";"70";"I_SPS";"A";"pending";"396.85";"496.83";"1192.0";"871.0";"E63.0";"/16b.3";"PLC-I";"-EG1.1/7";"Spare";"spare";"34";"CH 24";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"9";"70";"I_SPS";"A";"pending";"532.91";"496.83";"1192.0";"871.0";"E63.1";"/16b.3";"PLC-I";"-EG1.1/7";"Spare";"spare";"35";"CH 25";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"10";"70";"I_SPS";"A";"pending";"260.79";"315.41";"1192.0";"871.0";"E50.0";"/16a.5";"PLC-I";"-EG1.1/4";"Spare";"spare";"25";"CH 16";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"11";"70";"I_SPS";"A";"pending";"124.72";"315.41";"1192.0";"871.0";"E48.2";"/16a.5";"PLC-I";"-EG1.1/4";"Spare";"spare";"6";"CH 2";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"12";"70";"I_SPS";"A";"pending";"396.85";"315.41";"1192.0";"871.0";"E50.1";"/16a.5";"PLC-I";"-EG1.1/4";"Spare";"spare";"26";"CH 17";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"13";"70";"I_SPS";"A";"pending";"532.91";"315.41";"1192.0";"871.0";"E50.2";"/16a.5";"PLC-I";"-EG1.1/4";"Spare";"spare";"27";"CH 18";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"14";"70";"I_SPS";"A";"pending";"668.98";"315.41";"1192.0";"871.0";"E50.3";"/16a.5";"PLC-I";"-EG1.1/4";"Spare";"spare";"28";"CH 19";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"15";"70";"I_SPS";"A";"pending";"805.04";"315.41";"1192.0";"871.0";"E50.4";"/16a.5";"PLC-I";"-EG1.1/4";"Spare";"spare";"29";"CH 20";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"16";"70";"I_SPS";"A";"pending";"941.1";"315.41";"1192.0";"871.0";"E50.5";"/16a.5";"PLC-I";"-EG1.1/4";"Spare";"spare";"30";"CH 21";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"17";"70";"I_SPS";"A";"pending";"1077.17";"315.41";"1192.0";"871.0";"E50.6";"/16a.5";"PLC-I";"-EG1.1/4";"Spare";"spare";"31";"CH 22";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"18";"70";"I_SPS";"A";"pending";"260.79";"133.99";"1192.0";"871.0";"E43.2";"/16a.0";"PLC-I";"-EG1.1/2";"Spare";"spare";"36";"CH 26";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"19";"70";"I_SPS";"A";"pending";"124.72";"133.99";"1192.0";"871.0";"E42.7";"/16a.0";"PLC-I";"-EG1.1/2";"Spare";"spare";"32";"CH 23";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"20";"70";"I_SPS";"A";"pending";"396.85";"133.99";"1192.0";"871.0";"E43.3";"/16a.0";"PLC-I";"-EG1.1/2";"Spare";"spare";"37";"CH 27";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"21";"70";"I_SPS";"A";"pending";"532.91";"133.99";"1192.0";"871.0";"E43.4";"/16a.0";"PLC-I";"-EG1.1/2";"Spare";"spare";"38";"CH 28";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"22";"70";"I_SPS";"A";"pending";"668.98";"133.99";"1192.0";"871.0";"E43.5";"/16a.0";"PLC-I";"-EG1.1/2";"Spare";"spare";"39";"CH 29";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"23";"70";"I_SPS";"A";"pending";"805.04";"133.99";"1192.0";"871.0";"E43.6";"/16a.0";"PLC-I";"-EG1.1/2";"Spare";"spare";"40";"CH 30";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"24";"70";"I_SPS";"A";"pending";"941.1";"133.99";"1192.0";"871.0";"E43.7";"/16a.0";"PLC-I";"-EG1.1/2";"Spare";"spare";"41";"CH 31";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"25";"70";"I_SPS";"A";"pending";"1077.17";"133.99";"1192.0";"871.0";"E47.7";"/16a.3";"PLC-I";"-EG1.1/3";"Spare";"spare";"41";"CH 31";"plc_DI";"16f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"26";"77";"I_SPS";"A";"pending";"124.72";"315.41";"1192.0";"871.0";"E103.7";"/17a.5";"PLC-I";"-EG1.2/3";"Spare";"spare";"41";"CH 31";"plc_DI";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"27";"77";"I_SPS";"A";"pending";"260.79";"133.99";"1192.0";"871.0";"E103.0";"/17a.5";"PLC-I";"-EG1.2/3";"Spare";"spare";"34";"CH 24";"plc_DI";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"28";"77";"I_SPS";"A";"pending";"124.72";"133.99";"1192.0";"871.0";"E102.7";"/17a.5";"PLC-I";"-EG1.2/3";"Spare";"spare";"32";"CH 23";"plc_DI";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"29";"77";"I_SPS";"A";"pending";"396.85";"133.99";"1192.0";"871.0";"E103.1";"/17a.5";"PLC-I";"-EG1.2/3";"Spare";"spare";"35";"CH 25";"plc_DI";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"30";"77";"I_SPS";"A";"pending";"532.91";"133.99";"1192.0";"871.0";"E103.2";"/17a.5";"PLC-I";"-EG1.2/3";"Spare";"spare";"36";"CH 26";"plc_DI";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"31";"77";"I_SPS";"A";"pending";"668.98";"133.99";"1192.0";"871.0";"E103.3";"/17a.5";"PLC-I";"-EG1.2/3";"Spare";"spare";"37";"CH 27";"plc_DI";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"32";"77";"I_SPS";"A";"pending";"805.04";"133.99";"1192.0";"871.0";"E103.4";"/17a.5";"PLC-I";"-EG1.2/3";"Spare";"spare";"38";"CH 28";"plc_DI";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"33";"77";"I_SPS";"A";"pending";"941.1";"133.99";"1192.0";"871.0";"E103.5";"/17a.5";"PLC-I";"-EG1.2/3";"Spare";"spare";"39";"CH 29";"plc_DI";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"34";"77";"I_SPS";"A";"pending";"1077.17";"133.99";"1192.0";"871.0";"E103.6";"/17a.5";"PLC-I";"-EG1.2/3";"Spare";"spare";"40";"CH 30";"plc_DI";"17f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-I";""
"35";"86";"I_SPS";"A";"pending";"805.04";"689.58";"1192.0";"871.0";"E35.2";"/19d.0";"PLC-II";"-EG2.1/13";"Spare";"spare";"36";"CH 26";"plc_DI";"19e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"36";"86";"I_SPS";"A";"pending";"668.98";"689.58";"1192.0";"871.0";"E35.1";"/19d.0";"PLC-II";"-EG2.1/13";"Spare";"spare";"35";"CH 25";"plc_DI";"19e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"37";"86";"I_SPS";"A";"pending";"941.1";"689.58";"1192.0";"871.0";"E35.3";"/19d.0";"PLC-II";"-EG2.1/13";"Spare";"spare";"37";"CH 27";"plc_DI";"19e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"38";"86";"I_SPS";"A";"pending";"1077.17";"689.58";"1192.0";"871.0";"E35.4";"/19d.0";"PLC-II";"-EG2.1/13";"Spare";"spare";"38";"CH 28";"plc_DI";"19e";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"39";"87";"I_SPS";"A";"pending";"260.79";"133.99";"1192.0";"871.0";"E35.6";"/19d.0";"PLC-II";"-EG2.1/13";"Spare";"spare";"40";"CH 30";"plc_DI";"19f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"40";"87";"I_SPS";"A";"pending";"124.72";"133.99";"1192.0";"871.0";"E35.5";"/19d.0";"PLC-II";"-EG2.1/13";"Spare";"spare";"39";"CH 29";"plc_DI";"19f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"41";"87";"I_SPS";"A";"pending";"396.85";"133.99";"1192.0";"871.0";"E35.7";"/19d.0";"PLC-II";"-EG2.1/13";"Spare";"spare";"41";"CH 31";"plc_DI";"19f";"104";"= 400";"+ 400SPS";"PLC-system";"expansion modul / PLC-II";""
"42";"96";"I_SPS";"A";"pending";"294.8";"360.76";"1192.0";"871.0";"E1.1";"/15a.0";"PLC-I";"-ZG1/7";"=400-K040";"400SPS fuse control 24V DC ok";"14";"CH 9";"plc_DI";"22";"104";"= 400";"+ 400SPS";"general";"general signals";""
"43";"96";"I_SPS";"A";"pending";"158.74";"360.76";"1192.0";"871.0";"E1.0";"/15a.0";"PLC-I";"-ZG1/7";"=400-F06";"400SPS power trap (Plugtrap)";"13";"CH 8";"plc_DI";"22";"104";"= 400";"+ 400SPS";"general";"general signals";""
"44";"96";"I_SPS";"A";"pending";"430.87";"360.76";"1192.0";"871.0";"E1.2";"/15a.0";"PLC-I";"-ZG1/7";"=400-K020";"400SPS fuse control 220V AC
ok";"15";"CH 10";"plc_DI";"22";"104";"= 400";"+ 400SPS";"general";"general signals";""
"45";"96";"I_SPS";"A";"pending";"566.93";"360.76";"1192.0";"871.0";"E1.3";"/15a.0";"PLC-I";"-ZG1/7";"=400-F6.10";"400SPS fuse control 0 - 42V
DC ok";"16";"CH 11";"plc_DI";"22";"104";"= 400";"+ 400SPS";"general";"general signals";""
"46";"96";"I_SPS";"A";"pending";"975.12";"360.76";"1192.0";"871.0";"E1.5";"/15a.0";"PLC-I";"-ZG1/7";"=400-K1T";"400SPS control voltage on
after time";"18";"CH 13";"plc_DI";"22";"104";"= 400";"+ 400SPS";"general";"general signals";""
"47";"96";"I_SPS";"A";"pending";"839.06";"360.76";"1192.0";"871.0";"E1.4";"/15a.0";"PLC-I";"-ZG1/7";"=400-K1";"400SPS control voltage on";"17";"CH 12";"plc_DI";"22";"104";"= 400";"+ 400SPS";"general";"general signals";""
"48";"97";"I_SPS";"A";"pending";"260.79";"360.76";"1192.0";"871.0";"E1.7";"/15a.0";"PLC-I";"-ZG1/7";"=400-K040";"400SPS fuse control 24V DC ok";"20";"CH 15";"plc_DI";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"49";"97";"I_SPS";"A";"pending";"124.72";"360.76";"1192.0";"871.0";"E1.6";"/15a.0";"PLC-I";"-ZG1/7";"=400-K110";"400SPS power trap (Plugtrap)";"19";"CH 14";"plc_DI";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"50";"97";"I_SPS";"A";"pending";"737.01";"360.76";"1192.0";"871.0";"E2.6";"/15a.0";"PLC-I";"-ZG1/7";"=400-K??";"emergency power supply";"31";"CH 22";"plc_DI";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"51";"97";"I_SPS";"A";"pending";"600.94";"360.76";"1192.0";"871.0";"E2.0";"/15a.0";"PLC-I";"-ZG1/7";"Spare";"spare";"25";"CH 16";"plc_DI";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
"52";"97";"I_SPS";"A";"pending";"1111.18";"360.76";"1192.0";"871.0";"E2.1";"/15a.0";"PLC-I";"-ZG1/7";"=400-K0";"400SPS emergency stop";"26";"CH 17";"plc_DI";"23";"104";"= 400";"+ 400SPS";"general";"general signals";""
